ICD9CM,ICD10CM,FLAG
018.90,A19.9,10000
018.91,A19.9,10000
018.92,A19.9,10000
018.93,A19.9,10000
018.94,A19.9,10000
018.95,A19.9,10000
018.96,A19.9,10000
020.0,A20.0,0
020.1,A20.1,0
020.2,A20.7,0
020.3,A20.2,10000
020.4,A20.2,10000
020.5,A20.2,10000
020.8,A20.8,10000
020.9,A20.9,0
021.0,A21.0,0
021.1,A21.3,10000
021.2,A21.2,0
021.3,A21.1,0
021.8,A21.7,10000
021.8,A21.8,10000
021.9,A21.9,0
022.0,A22.0,0
022.1,A22.1,10000
022.2,A22.2,0
022.3,A22.7,10000
022.8,A22.8,0
022.9,A22.9,0
023.0,A23.0,0
023.1,A23.1,0
023.2,A23.2,0
023.3,A23.3,0
023.8,A23.8,0
023.9,A23.9,0
024,A24.0,0
025,A24.3,10000
025,A24.9,10000
026.0,A25.0,0
026.1,A25.1,0
026.9,A25.9,0
027.0,A32.11,10000
027.0,A32.12,10000
027.0,A32.7,10000
027.0,A32.81,10000
027.0,A32.89,10000
027.0,A32.9,10000
027.1,A26.7,10000
027.1,A26.8,10000
027.1,A26.9,10000
027.2,A28.0,0
027.8,A28.8,10000
027.9,A28.9,0
030.0,A30.5,0
030.1,A30.1,0
030.2,A30.0,0
030.3,A30.3,10000
030.8,A30.8,0
030.9,A30.9,0
031.0,A31.0,0
031.1,A31.1,0
031.2,A31.2,0
031.8,A31.8,0
031.9,A31.9,0
032.0,A36.0,0
032.1,A36.1,0
032.2,A36.89,10000
032.3,A36.2,0
032.81,A36.86,0
032.82,A36.81,0
032.83,A36.89,10000
032.84,A36.85,0
032.85,A36.3,0
032.89,A36.82,10000
032.89,A36.83,10000
032.89,A36.84,10000
032.89,A36.89,10000
032.9,A36.9,0
033.0,A37.00,10000
033.1,A37.10,10000
033.8,A37.80,10000
033.9,A37.90,10000
034.0,J02.0,10000
034.0,J03.00,10000
034.1,A38.9,10000
035,A46,0
036.0,A39.0,0
036.1,A39.81,0
036.2,A39.4,10000
036.3,A39.1,0
036.40,A39.50,0
036.41,A39.53,0
036.42,A39.51,0
036.43,A39.52,0
036.81,A39.82,10000
036.82,A39.83,10000
036.89,A39.89,0
036.9,A39.9,0
037,A35,0
038.0,A40.9,10000
038.10,A41.2,10000
038.11,A41.01,10000
038.12,A41.02,10000
038.19,A41.1,10000
038.2,A40.3,10000
038.3,A41.4,10000
038.40,A41.50,10000
038.41,A41.3,10000
038.42,A41.51,10000
038.43,A41.52,10000
038.44,A41.53,10000
038.49,A41.59,10000
038.8,A41.89,10000
038.9,A41.9,10000
039.0,L08.1,10000
039.1,A42.0,10000
039.2,A42.1,0
039.3,A42.2,0
039.4,B47.9,10000
039.8,A42.81,10000
039.8,A42.82,10000
039.8,A42.89,10000
039.8,A43.8,10000
039.9,A42.9,10000
039.9,A43.9,10000
039.9,B47.1,10000
040.0,A48.0,0
040.1,A48.8,10000
040.2,K90.81,0
040.3,A48.8,10000
040.41,A48.51,0
040.42,A48.52,0
040.81,M60.009,10000
040.82,A48.3,0
040.89,A48.8,10000
041.00,B95.5,10000
041.01,B95.0,0
041.02,B95.1,0
041.03,B95.4,10000
041.04,B95.2,0
041.05,B95.4,10000
041.09,B95.4,10000
041.10,B95.8,10000
041.11,B95.61,10000
041.12,B95.62,10000
041.19,B95.7,10000
041.2,B95.3,10000
041.3,B96.1,0
041.41,B96.21,0
041.42,B96.22,0
041.43,B96.23,0
041.49,B96.20,10000
041.49,B96.29,10000
041.5,B96.3,10000
041.6,B96.4,0
041.7,B96.5,0
041.81,A49.3,10000
041.81,B96.0,10000
041.82,B96.6,0
041.83,B96.7,10000
041.84,B96.89,10000
041.85,B96.89,10000
041.86,B96.81,0
041.89,B96.89,10000
041.9,B96.89,10000
042,B20,0
045.00,A80.39,10000
045.01,A80.39,10000
045.02,A80.39,10000
045.03,A80.39,10000
045.10,A80.39,10000
045.11,A80.39,10000
045.12,A80.39,10000
045.13,A80.39,10000
045.20,A80.4,10000
045.21,A80.4,10000
045.22,A80.4,10000
045.23,A80.4,10000
045.90,A80.9,10000
045.91,A80.9,10000
045.92,A80.9,10000
045.93,A80.9,10000
046.0,A81.81,0
046.11,A81.01,0
046.19,A81.00,10000
046.19,A81.09,10000
046.2,A81.1,0
046.3,A81.2,10000
046.71,A81.82,0
046.72,A81.83,0
046.79,A81.89,10000
046.8,A81.89,10000
046.9,A81.9,0
047.0,A87.0,10000
047.1,A87.0,10000
047.8,A87.8,10000
047.9,A87.9,10000
048,A88.0,10000
049.0,A87.2,0
049.1,A87.1,0
049.8,A85.0,10000
049.8,A85.1,10000
049.8,A85.8,10000
049.8,A88.8,10000
049.9,A86,10000
049.9,A89,10000
050.0,B03,10000
050.1,B03,10000
050.2,B03,10000
050.9,B03,10000
051.01,B08.010,0
051.02,B08.011,0
051.1,B08.03,0
051.2,B08.02,10000
051.9,B08.04,10000
052.0,B01.11,10000
052.1,B01.2,0
052.2,B01.12,0
052.7,B01.0,10000
052.7,B01.81,10000
052.7,B01.89,10000
052.8,B01.89,10000
052.9,B01.9,0
053.0,B02.1,0
053.10,B02.29,10000
053.11,B02.21,0
053.12,B02.22,0
053.13,B02.23,0
053.14,B02.24,0
053.19,B02.29,10000
053.20,B02.39,10000
053.21,B02.33,0
053.22,B02.32,0
053.29,B02.39,10000
053.71,B02.8,10000
053.79,B02.8,10000
053.8,B02.8,10000
053.9,B02.9,0
054.0,B00.0,0
054.10,A60.9,10000
054.11,A60.04,10000
054.12,A60.04,10000
054.13,A60.01,0
054.19,A60.09,10000
054.2,B00.2,0
054.3,B00.4,10000
054.40,B00.50,0
054.41,B00.59,10000
054.42,B00.52,10000
054.43,B00.52,10000
054.44,B00.51,0
054.49,B00.59,10000
054.5,B00.7,0
054.6,B00.89,10000
054.71,B00.81,10000
054.72,B00.3,0
054.73,B00.1,10000
054.74,B00.82,0
054.79,B00.89,10000
054.8,B00.9,10000
054.9,B00.9,10000
055.0,B05.0,0
055.1,B05.2,0
055.2,B05.3,0
055.71,B05.81,0
055.79,B05.1,10000
055.79,B05.4,10000
055.79,B05.89,10000
055.8,B05.89,10000
055.9,B05.9,0
056.00,B06.00,0
056.01,B06.01,0
056.09,B06.09,10000
056.71,B06.82,0
056.79,B06.81,10000
056.79,B06.89,10000
056.8,B06.89,10000
056.9,B06.9,0
057.0,B08.3,0
057.8,B09,10000
057.8,L44.4,10000
057.9,B09,10000
058.10,B08.20,0
058.11,B08.21,0
058.12,B08.22,0
058.21,B10.01,0
058.29,B10.09,0
058.81,B10.81,10000
058.82,B10.82,10000
058.89,B10.89,10000
059.00,B08.09,10000
059.01,B04,0
059.09,B08.09,10000
059.10,B08.60,0
059.11,B08.61,0
059.12,B08.62,0
059.19,B08.69,0
059.20,B08.70,10000
059.21,B08.71,0
059.22,B08.72,0
059.8,B08.8,10000
059.9,B08.8,10000
060.0,A95.0,0
060.1,A95.1,0
060.9,A95.9,0
061,A90,0
062.0,A83.0,0
062.1,A83.1,0
062.2,A83.2,0
062.3,A83.3,0
062.4,A83.4,0
062.5,A83.5,0
062.8,A83.8,10000
062.9,A83.9,0
063.0,A84.0,0
063.1,A84.8,10000
063.2,A84.1,0
063.8,A84.8,10000
063.9,A84.9,0
064,A85.2,0
065.0,A98.0,0
065.1,A98.1,0
065.2,A98.2,0
065.3,A98.8,10000
065.4,A91,10000
065.4,A92.0,10000
065.8,A98.8,10000
065.9,A99,10000
066.0,A93.1,0
066.1,A93.2,10000
066.2,A92.2,0
066.3,A92.0,10000
066.3,A92.1,10000
066.3,A92.4,10000
066.3,A92.5,10000
066.3,A92.8,10000
066.3,A93.0,10000
066.3,B33.1,10000
066.40,A92.30,0
066.41,A92.31,0
066.42,A92.32,0
066.49,A92.39,0
066.8,A93.8,0
066.9,A94,10000
070.0,B15.0,0
070.1,B15.9,0
070.20,B16.2,10000
070.20,B19.11,10000
070.21,B16.0,10000
070.22,B18.1,10000
070.23,B18.0,10000
070.30,B16.9,10000
070.30,B19.10,10000
070.31,B16.1,10000
070.32,B18.1,10000
070.33,B18.0,10000
070.41,B17.11,0
070.42,B17.0,10000
070.43,B17.2,10000
070.44,B18.2,10000
070.49,B17.8,10000
070.51,B17.10,0
070.52,B17.0,10000
070.53,B17.2,10000
070.54,B18.2,10000
070.59,B17.8,10000
070.59,B18.8,10000
070.59,B18.9,10000
070.6,B19.0,0
070.70,B19.20,0
070.71,B19.21,0
070.9,B19.9,10000
071,A82.9,10000
072.0,B26.0,0
072.1,B26.1,0
072.2,B26.2,0
072.3,B26.3,0
072.71,B26.81,0
072.72,B26.84,0
072.79,B26.82,10000
072.79,B26.83,10000
072.79,B26.85,10000
072.79,B26.89,10000
072.8,B26.89,10000
072.9,B26.9,0
073.0,A70,10111
073.0,J17,10112
073.7,A70,10000
073.8,A70,10000
073.9,A70,10000
074.0,B08.5,0
074.1,B33.0,0
074.20,B33.20,10000
074.21,B33.23,10000
074.22,B33.21,10000
074.23,B33.22,10000
074.3,B08.4,0
074.8,B34.1,10000
075,B27.90,10000
076.0,A71.0,0
076.1,A71.1,0
076.9,A71.9,0
077.0,A74.0,10000
077.1,B30.0,0
077.2,B30.2,0
077.3,B30.1,10000
077.4,B30.3,0
077.8,B30.8,0
077.98,A74.0,10000
077.98,A74.89,10000
077.99,B30.9,0
078.0,B08.1,0
078.10,B07.9,0
078.11,A63.0,0
078.12,B07.0,0
078.19,B07.8,0
078.2,B33.8,10000
078.3,A28.1,0
078.4,B08.8,10000
078.5,B25.9,10000
078.6,A98.5,0
078.7,A96.0,10000
078.7,A96.1,10000
078.7,A96.8,10000
078.81,A88.1,0
078.82,R11.11,10000
078.88,A74.89,10000
078.89,A98.3,10000
078.89,A98.4,10000
078.89,B33.8,10000
079.0,B97.0,10000
079.1,B97.12,10000
079.2,B97.11,10000
079.3,B97.89,10000
079.4,B97.7,0
079.50,B97.30,0
079.51,B97.33,0
079.52,B97.34,0
079.53,B97.35,0
079.59,B33.3,10000
079.59,B97.39,10000
079.6,B97.4,10000
079.81,B33.4,10000
079.82,B97.21,0
079.83,B34.3,10000
079.88,A74.89,10000
079.89,B33.8,10000
079.89,B34.1,10000
079.89,B34.2,10000
079.89,B34.4,10000
079.89,B34.8,10000
079.89,B97.19,10000
079.89,B97.29,10000
079.89,B97.89,10000
079.98,A74.9,10000
079.99,B97.89,10000
080,A75.0,0
081.0,A75.2,0
081.1,A75.1,0
081.2,A75.3,0
081.9,A75.9,0
082.0,A77.0,10000
082.1,A77.1,0
082.2,A77.2,0
082.3,A77.3,0
082.40,A77.40,0
082.41,A77.41,0
082.49,A77.49,0
082.8,A77.8,10000
082.9,A79.9,10000
083.0,A78,0
083.1,A79.0,0
083.2,A79.1,10000
083.8,A79.81,10000
083.8,A79.89,10000
083.9,A79.9,10000
084.0,B50.8,10000
084.0,B50.9,10000
084.1,B51.9,10000
084.2,B52.9,10000
084.3,B53.0,0
084.4,B53.1,10000
084.4,B53.8,10000
084.5,B50.9,10000
084.5,B51.9,10000
084.5,B52.9,10000
084.6,B54,0
084.7,B53.8,10000
084.8,B50.8,10000
084.9,B50.0,10000
084.9,B50.8,10000
084.9,B51.0,10000
084.9,B51.8,10000
084.9,B52.0,10000
084.9,B52.8,10000
085.0,B55.0,0
085.1,B55.1,10000
085.2,B55.1,10000
085.3,B55.1,10000
085.4,B55.1,10000
085.5,B55.2,0
085.9,B55.9,0
086.0,B57.0,10000
086.0,B57.2,10000
086.1,B57.5,10000
086.2,B57.1,10000
086.3,B56.0,0
086.4,B56.1,0
086.5,B56.9,10000
086.9,B56.9,10000
087.0,A68.0,0
087.1,A68.1,0
087.9,A68.9,0
088.0,A44.9,10000
088.81,A69.20,10000
088.82,B60.0,0
088.89,B60.8,10000
088.9,B64,10000
090.0,A50.09,10000
090.1,A50.1,0
090.2,A50.2,0
090.3,A50.31,10000
090.40,A50.40,10000
090.40,A50.45,10000
090.41,A50.42,10000
090.42,A50.41,10000
090.49,A50.49,10000
090.5,A50.52,10000
090.5,A50.57,10000
090.5,A50.59,10000
090.6,A50.6,0
090.7,A50.7,0
090.9,A50.9,0
091.0,A51.0,0
091.1,A51.1,0
091.2,A51.2,0
091.3,A51.31,10000
091.3,A51.39,10000
091.4,A51.49,10000
091.50,A51.43,10000
091.51,A51.43,10000
091.52,A51.43,10000
091.61,A51.46,10000
091.62,A51.45,0
091.69,A51.49,10000
091.7,A51.49,10000
091.81,A51.41,10000
091.82,A51.32,0
091.89,A51.49,10000
091.9,A51.49,10000
092.0,A51.5,10000
092.9,A51.5,10000
093.0,A52.01,0
093.1,A52.02,0
093.20,A52.03,10000
093.21,A52.03,10000
093.22,A52.03,10000
093.23,A52.03,10000
093.24,A52.03,10000
093.81,A52.06,10000
093.82,A52.06,10000
093.89,A52.09,10000
093.9,A52.00,0
094.0,A52.11,10000
094.1,A52.17,0
094.2,A52.13,10000
094.3,A52.2,0
094.81,A52.14,10000
094.82,A52.19,10000
094.83,A52.19,10000
094.84,A52.15,10000
094.85,A52.15,10000
094.86,A52.15,10000
094.87,A52.19,10000
094.89,A52.19,10000
094.9,A52.3,10000
095.0,A52.71,10000
095.1,A52.72,10000
095.2,A52.74,10000
095.3,A52.74,10000
095.4,A52.75,10000
095.5,A52.77,10000
095.6,A52.78,10000
095.7,A52.78,10000
095.8,A52.73,10000
095.8,A52.76,10000
095.8,A52.79,10000
095.9,A52.79,10000
096,A52.8,0
097.0,A52.9,0
097.1,A53.0,0
097.9,A53.9,0
098.0,A54.00,10000
098.10,A54.29,10000
098.11,A54.01,10000
098.12,A54.22,10000
098.13,A54.23,10000
098.14,A54.23,10000
098.15,A54.03,10000
098.16,A54.24,10000
098.17,A54.29,10000
098.19,A54.21,10000
098.2,A54.00,10000
098.30,A54.29,10000
098.31,A54.01,10000
098.32,A54.22,10000
098.33,A54.23,10000
098.34,A54.23,10000
098.35,A54.03,10000
098.36,A54.24,10000
098.37,A54.29,10000
098.39,A54.29,10000
098.40,A54.31,0
098.41,A54.32,0
098.42,A54.39,10000
098.43,A54.33,0
098.49,A54.39,10000
098.50,A54.42,0
098.51,A54.49,10000
098.52,A54.49,10000
098.53,A54.41,0
098.59,A54.40,10000
098.6,A54.5,0
098.7,A54.6,0
098.81,A54.89,10000
098.82,A54.81,0
098.83,A54.83,10000
